ID,Source File,Chapter Title,Category,Content Length,Full Content
6f50dceb-17bb-405c-b8da-f3b1b82208ce,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Giới thiệu chung,general,579,"TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM
LIÊN DANH
CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 1
& CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 4

EVNPECC1
EVNPECC4

MSCT: EVNA01.L50M.20001

DỰ ÁN
ĐƯỜNG DÂY 500KV LÀO CAI - VĨNH YÊN

HỒ SƠ MỜI THẦU

TẬP 2
CÁC BẢN VẼ

QUYỂN 2.3
CÁC BẢN VẼ PHẦN MÓNG, KÈ MÓNG VÀ SAN GẠT

QUYỂN 2.3.3

BẢN VẼ SƠ ĐỒ MÓNG, CỐT THÉP MÓNG, BULONG NEO, THANH NEO TỪ VT231-VT470

Khánh Hòa, tháng 02 năm 2025


---



TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM
LIÊN DANH
CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 1
& CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 4

EVNPECC1
&
EVNPECC4

**MSCT: EVNA01.L50M.20001**"
bc6e3024-4afd-4cc3-b745-7e020e8936bb,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",DỰ ÁN,general,9,"# DỰ ÁN

"
6c44944e-61e9-4733-9b6b-0adf0dd72327,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",ĐƯỜNG DÂY 500KV LÀO CAI - VĨNH YÊN,general,38,"# ĐƯỜNG DÂY 500KV LÀO CAI - VĨNH YÊN

"
cad1c5de-dffa-49de-ac4a-9adcdd2df706,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",HỒ SƠ MỜI THẦU,admin,19,"## HỒ SƠ MỜI THẦU

"
3fb88279-6467-4464-badb-4cc10346bf11,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",TẬP 2,general,11,"### TẬP 2

"
205a29d8-7e26-4ead-8241-04247f3487c4,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",CÁC BẢN VẼ,general,16,"### CÁC BẢN VẼ

"
6fc2feba-3be9-4e94-804f-d3e27a9d8b60,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",QUYỂN 2.3,general,15,"### QUYỂN 2.3

"
fce3dc0e-9c0a-449b-aedf-2ceb4b53a013,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf","CÁC BẢN VẼ PHẦN MÓNG, KÈ MÓNG VÀ SAN GẠT",general,45,"## CÁC BẢN VẼ PHẦN MÓNG, KÈ MÓNG VÀ SAN GẠT

"
0dae7a60-7f29-4d72-9c74-a724a522d966,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",QUYỂN 2.3.3,general,17,"### QUYỂN 2.3.3

"
d35afba0-8cf2-4fff-a7ee-b3c890e8d0ce,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf","BẢN VẼ SƠ ĐỒ MÓNG, CỐT THÉP MÓNG, BULONG NEO, THANH NEO TỪ VT231-VT470",general,592,"# BẢN VẼ SƠ ĐỒ MÓNG, CỐT THÉP MÓNG, BULONG NEO, THANH NEO TỪ VT231-VT470

P. Giám đốc Trung tâm : Trần Nho Hoàng
P. CNLDA : Võ Trọng Sơn

Khánh Hòa, ngày tháng 02 năm 2025
TM. LIÊN DANH
CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 4
KT. TỔNG GIÁM ĐỐC
PHÓ TỔNG GIÁM ĐỐC

ĐỒNG
TRỊNH
HOÀNG
2025.02.11
18:18:10
+07'00'

EVNPECC4
Trust Banking

Đồng Trịnh Hoàng


---



Đường dây 500kV Lào Cai – Vĩnh Yên                                                                                                                                                                                                    HSMT"
bbbcc177-beb7-4d13-9d3c-1ec72202038d,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",NHỮNG NGƯỜI THAM GIA LẬP VÀ KIỂM TRA HỒ SƠ (Part 1),general,1000,"## NHỮNG NGƯỜI THAM GIA LẬP VÀ KIỂM TRA HỒ SƠ

| STT | Họ và tên       | Chức danh - Nhiệm vụ                              | Ký tên |
| --- | --------------- | ------------------------------------------------- | ------ |
| 1.  | Võ Trọng Sơn    | Giám đốc Trung tâm – Chủ nhiệm thiết kế           |        |
| 2.  | Trần Nho Hoàng  | P. Giám đốc Trung tâm – Chủ trì thiết kế xây dựng |        |
| 3.  | Nguyễn Đức Tuấn | Trưởng phòng xây dựng – Kiểm tra Hồ sơ xây dựng   |        |
| 4.  | Huỳnh Văn Hào   | Tham gia thiết kế phần xây dựng                   |        |
| 5.  | Nguyễn Đình Thế | Tham gia thiết kế phần xây dựng                   |        |
| 6.  | Lê Nhật Trường  | Tham gia thiết kế phần xây dựng                   |        |


Những người tham gia lập và kiểm tra hồ sơ                                                                                                                                                                                           iii


---



Đường dây 500"
79ec5906-fb98-4880-abf9-42de453000eb,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",NHỮNG NGƯỜI THAM GIA LẬP VÀ KIỂM TRA HỒ SƠ (Part 2),general,93,kV Lào Cai – Vĩnh Yên                                                                    HSMT
b8758180-fc45-42c7-b5ed-fa9232235e30,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",NỘI DUNG BIÊN CHẾ HỒ SƠ,general,133,"# NỘI DUNG BIÊN CHẾ HỒ SƠ

Hồ sơ Thiết kế kỹ thuật Dự án ""**Đường dây 500kV Lào Cai – Vĩnh Yên**"" được biên chế thành 07 tập như sau:"
4970d64f-56cc-40cc-8f3d-cec9318ca525,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Tập 1: Thuyết minh - Tổng kê - Liệt kê,general,198,"## Tập 1: Thuyết minh - Tổng kê - Liệt kê

Quyển 1.1: Thuyết minh phần đường dây

Quyển 1.2: Thuyết minh phần lắp đặt ngăn lộ 500kV tại TBA 500kV Vĩnh Yên

Quyển 1.3: Thuyết minh phần trạm lặp quang"
130a94bb-418f-461c-9482-ac4e568fdb94,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Tập 2: Các bản vẽ,general,614,"## Tập 2: Các bản vẽ

Quyển 2.1: Các bản vẽ phần đường dây

Quyển 2.1.1: Các bản vẽ công nghệ

Quyển 2.1.2: Bản vẽ MBT, MCD từ VT01-VT230

Quyển 2.1.3: Bản vẽ MBT, MCD từ VT230-VT470

Quyển 2.2: Các bản vẽ phần cột

Quyển 2.3: Các bản vẽ phần móng, kè móng và san gạt

Quyển 2.3.1: Bản vẽ sơ đồ móng, Cốt thép móng, Bulong neo, thanh neo từ VT01-VT230

Quyển 2.3.2: Bản vẽ san gạt, kè móng từ VT01-VT230

Quyển 2.3.3: Bản vẽ sơ đồ móng, Cốt thép móng, Bulong neo, thanh neo từ VT231-VT470

Quyển 2.3.4: Bản vẽ san gạt, kè móng từ VT231-VT470

Quyển 2.4: Các bản vẽ phần lắp đặt ngăn lộ 500kV tại TBA 500kV Vĩnh Yên"
e3b1076d-dcb5-4179-b177-4b69753f3393,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Tập 3: Phụ lục tính toán,general,423,"## Tập 3: Phụ lục tính toán

Quyển 3.1: Phụ lục tính toán phần công nghệ đường dây

Quyển 3.2: Phụ lục tính toán phần cột

Quyển 3.2.1: Phụ lục tính toán cột néo

Quyển 3.2.2: Phụ lục tính toán cột đỡ

Quyển 3.3: Phụ lục tính toán phần móng

Quyển 3.3.1: Phụ lục tính toán móng từ VT01-VT230

Quyển 3.3.2: Phụ lục tính toán móng từ VT231-VT470

Quyển 3.4: Phụ lục tính toán phần lắp đặt ngăn lộ 500kV tại TBA 500kV Vĩnh Yên"
fc08a77c-af5e-47f8-9249-7fd07a83d75c,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Tập 4: Tổ chức xây dựng và dự toán công trình,general,196,"## Tập 4: Tổ chức xây dựng và dự toán công trình

Quyển 4.1: Tổ chức xây dựng phần đường dây

Quyển 4.2: Tổ chức xây dựng phần lắp đặt ngăn lộ 500kV tại TBA 500kV Vĩnh Yên

Quyển 4.3: Tổng dự toán"
9141a8be-27a1-4543-a97c-d1868a148a11,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Tập 5: Chỉ dẫn kỹ thuật,general,414,"## Tập 5: Chỉ dẫn kỹ thuật

Nội dung biên chế hồ sơ                                                                               i


---



Đường dây 500kV Lào Cai – Vĩnh Yên                                                               HSMT

Quyển 5.1: Chỉ dẫn kỹ thuật phần đường dây

Quyển 5.2: Chỉ dẫn kỹ thuật phần lắp đặt ngăn lộ 500kV tại TBA 500kV Vĩnh Yên

Quyển 5.3: Chỉ dẫn kỹ thuật phần trạm lặp quang"
99c35e76-b5c6-4471-b101-c0cf54416283,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Tập 6: Quy trình bảo trì,general,202,"## Tập 6: Quy trình bảo trì

Quyển 6.1: Quy trình bảo trì phần đường dây

Quyển 6.2: Quy trình bảo trì phần lắp đặt ngăn lộ 500kV tại TBA 500kV Vĩnh Yên

Quyển 6.3: Quy trình bảo trì phần trạm lặp quang"
2e67d5df-88a2-4cfd-b8e4-383249c7e5b6,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",Tập 7: Báo cáo khảo sát,general,276,"## Tập 7: Báo cáo khảo sát

► Đây là **Quyển 2.3.3: Bản vẽ sơ đồ móng, Cốt thép móng, Bulong neo, thanh neo từ VT231-VT470** của hồ sơ.

Nội dung biên chế hồ sơ    ii


---



Đường dây 500kV Lào Cai – Vĩnh Yên                                                              HSMT"
629aaafb-afdc-4f5f-8736-a96bc46d56a9,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",LIỆT KÊ CÁC BẢN VẼ (Part 1),general,1000,"## LIỆT KÊ CÁC BẢN VẼ

| STT | Tên bản vẽ                           | Ký hiệu                 | Ghi chú |
| --- | ------------------------------------ | ----------------------- | ------- |
| 1   | Tập sơ đồ móng                       | EVNA01.L50M.20001-XD.02 |         |
| 2   | Tập chi tiết móng                    | EVNA01.L50M.20001-XD.03 |         |
| 3   | Tập các bản vẽ Bulông neo, thanh neo | EVNA01.L50M.20001-XD.04 |         |


Liệt kê các bản vẽ                                                                                iii


---



BẢNG TỔNG KÊ CUNG ĐOẠN VT231-470

| STT | Vị Trí         | Góc               | Khoảng cột | cột                            | Công dụng | Móng dưới chân cột         | BLN/ Thanh neo<br/>BLN/ Thanh neo | BLN/ Thanh neo<br/>Khối lượng thép đen(đã cắt vát đục lỗ,không bao gồm bulông), (kg) |
| --- | -------------- | ----------------- | ---------- | ------------------------------ | --------- | -------------------------- | ----------------------------"
b5434a2f-97b9-43b7-9a74-be1837580cfb,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",LIỆT KÊ CÁC BẢN VẼ (Part 2),general,1000,"----- | ------------------------------------------------------------------------------------ |
| 1   | VT231          |                   | 787        | Đ522-59C                       | Đỡ thẳng  | 2T41-47/2T66-47            | 16BL80                            | 1192,960                                                                             |
| 2   | VT232          |                   | 578        | Đ522-55C                       | Đỡ thẳng  | 1T41-47/3T66-47            | 16BL80                            | 1192,960                                                                             |
| 3   | VT233          |                   | 654        | ĐO522-87B(+2)                  | Đỡ thẳng  | 1T41-53/3T71-53            | 48BL56-2700(D355,6x12)            | 3084,190                                                                             |
| 4   | VT234          |                   | 430        | ĐO522-87C(2L6)                 | Đỡ thẳng  | 4T45-59                    | 48BL72-3"
b96419c4-45b5-415f-91e3-ecb406c862e7,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",LIỆT KÊ CÁC BẢN VẼ (Part 3),general,1000,"550(D406,4x14)            | 6546,750                                                                             |
| 5   | VT235 (G57.10) | G57.10=37°06'09""P | 721        | NO521-88B(2L8)                 | Néo góc   | 2T90-71/2T60-55            | 48BLN72-4800(D457,2x16)           | 8812,162                                                                             |
| 6   | VT236          |                   | 143        | ĐO522-95B(+2)(1L8)             | Đỡ thẳng  | 2T41-53/2T71-53            | 48BL56-2700(D355,6x12)            | 3084,190                                                                             |
| 7   | VT237          |                   | 643        | NO521-66A(2L8)                 | Néo thẳng | 4T58-61                    | 48BLN64-4450(D406,4x14)           | 6524,546                                                                             |
| 8   | VT238 (G57,11) | G57,11=19°22'44""P | 632        | NO521-74A(2L8)                 | Néo góc   | 4T58-61          "
94d8ae5e-abdd-43a3-8556-62276cd3687e,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",LIỆT KÊ CÁC BẢN VẼ (Part 4),general,1000,"          | 48BLN64-4450(D406,4x14)           | 6524,546                                                                             |
| 9   | VT239          |                   | 754        | NO521-84A(2L8)                 | Néo thẳng | 2T60-63/2T80-63            | 48BLN64-4450(D406,4x14)           | 6524,546                                                                             |
| 10  | VT240 (G57,12) | G57,12=45°58'36""T | 1133       | NO521-108B(1L6)                | Néo góc   | 2T90-71/1T60-55/1T90-55    | 48BLN72-5190(D508x19)             | 9410,477                                                                             |
| 11  | VT241          |                   | 458        | NO521-96C(2L9)                 | Néo thẳng | 4T88-81                    | 48BLN90-5290(D609,6x22)           | 15116,954                                                                            |
| 12  | VT242 (G57,13) | G57,13=34°07'22""P | 1459       | NO521-58C(+2)(1L6)             | Néo góc  "
3ad76f93-2247-4a3f-b3fc-67575b64da02,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",LIỆT KÊ CÁC BẢN VẼ (Part 5),general,1000," | 2T68-89/1T68-67/1T98-67    | 48BLN90-5290(D609,6x22)           | 15116,954                                                                            |
| 13  | VT243          |                   | 387        | Đ522-67C                       | Đỡ thẳng  | 4T41-47                    | 16BL80                            | 1192,960                                                                             |
| 14  | VT244          |                   | 519        | ĐO522-83B(2L6)                 | Đỡ thẳng  | 2T41-53/2T71-53            | 48BL56-2700(D355,6x12)            | 3084,190                                                                             |
| 15  | VT245 (G57,14) | G57,14=29°22'59""T | 544        | NO521-84B(3L6)                 | Néo góc   | 2T60-71/1T60-55/1T90-55    | 48BLN72-4800(D457,2x16)           | 8812,162                                                                             |
| 16  | VT246 (G57,15) | G57,15=30°21'54""P | 577        | NO521-62B(+2)(2L6)    "
c724cba9-39cb-402e-bea6-4e5acdc623bd,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",LIỆT KÊ CÁC BẢN VẼ (Part 6),general,1000,"         | Néo góc   | 2T60-71/2T60-55            | 48BLN72-4800(D457,2x16)           | 8812,162                                                                             |
| 17  | VT247          |                   | 445        | Đ522-75C(2L6)                  | Đỡ thẳng  | 4T41-47                    | 32BL72                            | 1796,160                                                                             |
| 18  | VT248          |                   | 541        | Đ522-55C                       | Đỡ thẳng  | 4T41-47                    | 16BL80                            | 1192,960                                                                             |
| 19  | VT249          |                   | 595        | ĐO522-83C                      | Đỡ thẳng  | 2T45-59/2T75-59            | 48BL64-3100(D406,4x14)            | 4624,060                                                                             |
| 20  | VT250 (G57,16) | G57,16=18°04'21""P | 650        | NO"
81275a40-c76c-4bef-af53-580f91ceeec1,"Q.2.3.3. BV SDM, CTM, BLN VT231-470 - HSMT.pdf",LIỆT KÊ CÁC BẢN VẼ (Part 7),general,1000,"521-58B(+2)(2L6)             | Néo góc   | 1T60-71/1T90-71/2T60-55    | 48BLN72-4800(D457,2x16)           | 8812,162                                                                             |
| 21  | VT251 (G57,17) | G57,17=20°54'50""T | 902        | NO521-92B                      | Néo góc   | 2T95-71/2T60-51            | 48BLN72-4800(D457,2x16)           | 8812,162                                                                             |
| 22  | VT252 (G57,18) | G57,18=23°26'23""P | 590        | NO521-62A(+2)                  | Néo góc   | 4T62-69                    | 48BLN64-4450(D406,4x14)           | 6524,546                                                                             |
| 23  | VT253          |                   | 343        | Đ522-59B                       | Đỡ thẳng  | 4T41-45                    | 16BL72                            | 898,080                                                                              |
| 24  | VT254 (G57,19) | G57,19=48°19'14"
